epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6659.29,0.70022,0.45775,0.94081,0.96674,0.95871,0.9791,0.86987,0.48985,0.31703,0.81949,0.00053975,0.00053975,0.00053975
61,6768.94,0.69,0.45184,0.93652,0.97386,0.95984,0.981,0.8766,0.48383,0.31355,0.81902,0.000515,0.000515,0.000515
62,6877.77,0.68279,0.44718,0.93303,0.96359,0.96663,0.981,0.87516,0.47914,0.30824,0.81619,0.00049025,0.00049025,0.00049025
63,6987.78,0.67164,0.43626,0.93167,0.97599,0.95758,0.98024,0.87486,0.47992,0.30772,0.81841,0.0004655,0.0004655,0.0004655
64,7096.29,0.6729,0.44118,0.93063,0.973,0.9655,0.98058,0.87644,0.47457,0.3043,0.81747,0.00044075,0.00044075,0.00044075
65,7205.98,0.66167,0.43067,0.92824,0.9709,0.96237,0.98131,0.87906,0.46712,0.29841,0.81501,0.000416,0.000416,0.000416
66,7314.44,0.6572,0.43252,0.92616,0.97423,0.95928,0.98082,0.88032,0.46566,0.2997,0.81388,0.00039125,0.00039125,0.00039125
67,7423.61,0.64763,0.42168,0.92064,0.97119,0.95871,0.98085,0.88144,0.45875,0.30072,0.81283,0.0003665,0.0003665,0.0003665
68,7532.04,0.64834,0.42595,0.92245,0.96524,0.96663,0.9816,0.88197,0.45847,0.30139,0.81284,0.00034175,0.00034175,0.00034175
69,7641.76,0.64684,0.42028,0.92159,0.96933,0.96537,0.98114,0.88299,0.45473,0.29551,0.80992,0.000317,0.000317,0.000317
70,7750.79,0.64818,0.42105,0.92081,0.97022,0.96493,0.98113,0.88337,0.45202,0.29545,0.80875,0.00029225,0.00029225,0.00029225
71,7857.93,0.57689,0.35811,0.87424,0.97128,0.9638,0.98098,0.88343,0.45268,0.29606,0.80926,0.0002675,0.0002675,0.0002675
72,7961.24,0.55625,0.34735,0.87064,0.9668,0.96833,0.98121,0.88568,0.44932,0.29374,0.80801,0.00024275,0.00024275,0.00024275
73,8065.65,0.54248,0.33944,0.86658,0.96782,0.9696,0.98093,0.88723,0.44447,0.2918,0.80584,0.000218,0.000218,0.000218
74,8170.32,0.53963,0.33521,0.86586,0.97022,0.96833,0.98155,0.89153,0.43649,0.28786,0.80449,0.00019325,0.00019325,0.00019325
75,8274.97,0.53097,0.3301,0.86596,0.96863,0.96946,0.98194,0.89319,0.43573,0.28549,0.80365,0.0001685,0.0001685,0.0001685
76,8381.16,0.52363,0.32872,0.86043,0.96814,0.96946,0.98214,0.89381,0.43432,0.28448,0.8026,0.00014375,0.00014375,0.00014375
77,8487.88,0.52017,0.32685,0.86085,0.97031,0.97002,0.98264,0.89503,0.43223,0.2826,0.80191,0.000119,0.000119,0.000119
78,8594.59,0.51363,0.32143,0.85631,0.97323,0.9663,0.98263,0.896,0.42864,0.28216,0.80125,9.425e-05,9.425e-05,9.425e-05
79,8702.09,0.51556,0.32185,0.85899,0.96988,0.96776,0.98243,0.89715,0.42608,0.28207,0.80039,6.95e-05,6.95e-05,6.95e-05
80,8808.49,0.50624,0.31897,0.85608,0.97438,0.96801,0.9825,0.89881,0.42234,0.2799,0.79927,4.475e-05,4.475e-05,4.475e-05
